first_name,last_name,address,city,province,postal,phone1,email
Francoise,Rautenstrauch,2335 Canton Hwy #6,Windsor,ON,N8N 3N2,519-569-8399,francoise.rautenstrauch@rautenstrauch.com
Kendra,Loud,6 Arch St #9757,Alcida,NB,E8J 2C4,506-363-1526,kloud@gmail.com
Lourdes,Bauswell,9547 Belmont Rd #21,Belleville,ON,K8P 1B3,613-903-7043,lourdes_bauswell@aol.com
Hannah,Edmison,73 Pittsford Victor Rd,Vancouver,BC,V5Z 3K2,604-334-3686,hannah@yahoo.com
Tom,Loeza,447 Commercial St Se,LIle-Perrot,QC,J7V 4T4,514-487-6096,tom.loeza@gmail.com
Queenie,Kramarczyk,47 Garfield Ave,Swift Current,SK,S9H 4V2,306-421-5793,queenie.kramarczyk@kramarczyk.org
Hui,Portaro,3 Mill Rd,Baker Brook,NB,E7A 1T3,506-827-7755,hui_portaro@cox.net
Josefa,Opitz,136 W Grand Ave #3,Delhi,ON,N4B 1C4,519-788-7645,josefa.opitz@opitz.org
Lea,Steinhaus,80 Maplewood Dr #34,Bradford,ON,L3Z 2S4,905-618-8258,lsteinhaus@cox.net
Paola,Vielma,58 Hancock St,Aurora,ON,L4G 2J7,905-456-1117,paola_vielma@aol.com
Hortencia,Bresser,808 Calle De Industrias,New Waterford,NS,B1H 1Z4,902-256-6791,hbresser@aol.com
Leanna,Tijerina,2859 Dorsett Rd,North York,ON,M9L 2T9,416-719-2114,leanna@cox.net
Danilo,Pride,6857 Wall St,Red Deer,AB,T4R 2H5,403-212-4945,danilo_pride@hotmail.com
Huey,Marcille,169 Journal Sq,Edmonton,AB,T5P 1G9,780-639-3619,huey.marcille@gmail.com
Apolonia,Warne,3 E 31st St #77,Fredericton,NB,E3G 0A3,506-978-1488,apolonia@gmail.com
Chandra,Lagos,7 N Dean St,Etobicoke,ON,M8Z 3P6,416-716-6446,chandra.lagos@lagos.org
Crissy,Pacholec,85 S State St,Barrie,ON,L4N 6T7,705-477-2307,crissy@aol.com
Gianna,Branin,100 Main St,Calgary,AB,T2K 4X5,403-337-7162,gianna@aol.com
Valentin,Billa,6185 Bohn St #72,Pangman,SK,S0C 2C0,306-291-5073,vbilla@yahoo.com
Ilona,Dudash,2 Sutton Pl S #5727,Rouyn-Noranda,QC,J9X 3V4,819-536-7034,idudash@dudash.com
Willard,Lablanc,1534 Sidco Dr,Leduc,AB,T9E 5A6,780-384-5410,wlablanc@yahoo.com
Lauryn,Randol,4207 Leon Rd,North Vancouver,BC,V7L 3X6,604-236-4625,lauryn@yahoo.com
Laurena,Begin,7564 N Academy Ave,London,ON,N6A 1S5,519-790-8660,laurena.begin@begin.com
Elise,Michelle,88 E Saint Elmo Rd,Hamilton,ON,L8R 3J3,905-652-4509,elise@gmail.com
Corrie,Kardell,75 Westchester Ave,Pierrefonds,QC,H9J 1W6,514-203-7817,corrie_kardell@aol.com
Kimberely,Rabuse,89 W 35th St #1,Windsor,ON,N8S 3R1,519-912-5533,kimberely.rabuse@cox.net
Tish,Violett,1 Norris Ave #4095,Laval,QC,H7W 5K7,450-840-7605,tish.violett@violett.com
Hollis,Stanfield,5174 Interstate 45 N,Yellowhead County,AB,T7E 3A7,780-574-5620,hollis.stanfield@aol.com
Andree,Christmann,765 Rock Island Rd,Strathroy,ON,N7G 3K6,519-872-6826,andree.christmann@cox.net
Lyla,Fucillo,7979 33  191,North River,NS,B6L 6N1,902-844-1174,lyla_fucillo@cox.net
Felton,Yafuso,202 Madison Ave,Ottawa,ON,K1Y 1M2,613-749-1169,felton.yafuso@gmail.com
Dell,Polino,56 Corporate Dr,Becancour,QC,G9H 1H7,819-255-1725,dell_polino@polino.com
Nohemi,Leko,37 Us Highway 12e E #6,Sault Ste. Marie,ON,P6C 2C8,705-838-9265,nohemi@aol.com
Tambra,Lembke,6734 W Jackson Blvd,Salmon Arm,BC,V1E 4G9,250-353-7479,tlembke@lembke.org
Vicki,Maikoksoong,7 Tomahawk Dr,Richmond,BC,V7A 3N1,604-231-6180,vicki@gmail.com
Renato,Airhart,1 Vernon Blvd,Calgary,AB,T2A 2H9,403-444-2250,renato_airhart@hotmail.com
Lenita,Darbro,2726 Franklin Hill Rd,Vernon,BC,V1T 7V8,250-749-4517,lenita@yahoo.com
Barney,Hagen,6335 Fort Myer Dr,Saint-Hyacinthe,QC,J2S 2N3,450-526-5424,barney@yahoo.com
Matthew,Armacost,220 Old Us Highway 441,Peterborough,ON,K9H 6C3,705-417-7221,matthew_armacost@gmail.com
Belen,Nelton,77 Central Pky N,Quesnel,BC,V2J 1N4,250-768-5812,bnelton@gmail.com
Iesha,Wardle,781 Alabama Ave,Etobicoke,ON,M8Z 2C1,416-989-2001,iesha@gmail.com
Francesco,Sarchet,22 Dearborn St,Regina,SK,S4T 4B1,306-524-4509,francesco@hotmail.com
Paulene,Rhule,21 E 64th Ave,Matane,QC,G4W 3G6,418-348-2107,paulene_rhule@rhule.org
Carole,Hughlett,9 N Central Ave,Abbotsford,BC,V2S 5R3,604-262-8556,carole_hughlett@hughlett.com
Miss,Dunning,38 Douglas Rd E #39,Regina,SK,S4R 1J5,306-508-8874,mdunning@gmail.com
Elfrieda,Hinsch,4929 Sidney St #8276,Vernon,BC,V1T 4A3,250-454-9384,elfrieda_hinsch@hinsch.org
Edelmira,Calzado,4936 Walcott Rd,Regina,SK,S4R 3M1,306-611-7185,edelmira@hotmail.com
Jaime,Wasurick,6760 E Fayette St #9,Saint-Damien,QC,J0K 2N1,450-531-8633,jaime_wasurick@hotmail.com
Lera,Hua,6638 S Webster St #491,Miramichi,NB,E1V 2N4,506-556-4300,lhua@aol.com
Jame,Mastro,4465 James St,Kitchener,ON,N2N 1Y6,519-920-7003,jmastro@aol.com
Jillian,Hailstone,8721 Everett Rd,Mississauga,ON,L4Z 2V7,905-864-2257,jhailstone@yahoo.com
Louis,Zarling,6 E Kingsbridge Rd,Stoneham-Et-Tewkesbury,QC,G3C 2A8,418-568-3216,louis@zarling.com
Emmett,Mcshaw,920 Union Blvd,Sault Ste. Marie,ON,P6B 5Y2,705-581-1220,emmett_mcshaw@cox.net
Tammy,Sams,5 Secaucus Rd,Nanaimo,BC,V9R 5W6,250-226-1002,tammy_sams@sams.com
Willis,Wylie,646 9th St,Saint-Raymond,QC,G3L 3X9,418-833-1949,willis@yahoo.com
